scenario_id,episode_index,spawn_x_m,spawn_y_m,actuator_gain,wind_x_mps,wind_y_mps,goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
553,0,-8.222673416137695,-0.008055642247200012,1.0923762321472168,-0.013837468810379505,-0.0030160716269165277,True,False,False,False,312,12.479999542236328,0.24685633182525635,20.306577682495117,0.8087368011474609,126.77510070800781,10.1582612991333,0.055616408586502075,0.0
554,0,-8.399707794189453,-0.058775171637535095,0.828197717666626,-0.039742548018693924,-0.022334545850753784,True,False,False,False,423,16.920000076293945,0.27449625730514526,20.458789825439453,0.811378002166748,158.54965209960938,9.370546340942383,0.23550108075141907,0.0
555,0,-8.207260131835938,-1.0334104299545288,1.0370006561279297,0.015141154639422894,-0.047666359692811966,True,False,False,False,319,12.75999927520752,0.25577014684677124,19.973777770996094,0.8230385780334473,150.08731079101562,11.7623291015625,0.6051632165908813,0.0
556,0,-8.34125804901123,-1.1280996799468994,1.1462315320968628,0.050881776958703995,-0.056028880178928375,True,False,False,False,284,11.359999656677246,0.26160579919815063,19.97614860534668,0.8299397826194763,135.3108673095703,11.911168098449707,0.5990853309631348,0.0
557,0,-8.804512023925781,-0.12525804340839386,0.9865881204605103,0.00019521637295838445,0.010894143022596836,True,False,False,False,351,14.039999961853027,0.25819122791290283,20.778350830078125,0.8183982968330383,125.29207611083984,8.92393684387207,0.10848662257194519,0.0
558,0,-8.445525169372559,-1.0065137147903442,1.08136785030365,-0.06624441593885422,-0.1656496822834015,False,True,False,False,216,8.639999389648438,5.148956298828125,13.617144584655762,1.2245880365371704,29.481531143188477,3.412214517593384,-0.035901397466659546,0.0
559,0,-8.206388473510742,0.859462320804596,1.0327612161636353,0.11023033410310745,-0.08268128335475922,False,True,False,False,45,1.7999999523162842,13.983840942382812,3.0280067920684814,5.425510406494141,3.2201216220855713,1.7889565229415894,-0.012499511241912842,0.0
560,0,-8.42258071899414,1.0922057628631592,0.8512356281280518,-0.1183777004480362,0.03126213327050209,False,True,False,False,69,2.759999990463257,14.019412994384766,3.205233097076416,5.197060585021973,4.474216461181641,1.6210929155349731,-0.006277501583099365,0.0
561,0,-8.226665496826172,-0.964328944683075,1.0056473016738892,-0.032848309725522995,0.004284560214728117,True,False,False,False,336,13.4399995803833,0.29393330216407776,19.902503967285156,0.8267523050308228,143.4742889404297,10.6751708984375,0.65233314037323,0.0
562,0,-8.162603378295898,-1.1820937395095825,1.0751142501831055,-0.07143357396125793,-0.15935082733631134,True,False,False,False,325,13.0,0.26631882786750793,19.96211814880371,0.8217806220054626,145.28053283691406,11.17542552947998,0.5301980972290039,0.0
563,0,-8.34177303314209,0.501099705696106,0.7543286085128784,-0.1500861495733261,-9.079543087864295e-05,True,False,False,False,521,20.84000015258789,0.2805410325527191,21.001174926757812,0.7880144119262695,197.35426330566406,9.469974517822266,0.14763972163200378,0.0
564,0,-8.480344772338867,-0.9593635201454163,1.1511963605880737,0.07968612760305405,-0.10602182894945145,True,False,False,False,282,11.279999732971191,0.2507342994213104,20.140117645263672,0.8295595049858093,130.333740234375,11.554409980773926,0.5599883794784546,0.0
565,0,-8.208170890808105,0.572363018989563,0.8195662498474121,0.11035516113042831,0.09334322810173035,False,True,False,False,53,2.119999885559082,14.03385066986084,2.79600191116333,5.871946334838867,4.180834770202637,1.9720920324325562,-0.01568886637687683,0.0
566,0,-8.055519104003906,0.6187605857849121,1.2920382022857666,-0.04375363141298294,0.03204497694969177,False,True,False,False,38,1.5199999809265137,13.94709300994873,2.866858959197998,5.6741814613342285,3.34844970703125,2.202927350997925,-0.003799140453338623,0.0
567,0,-8.90005874633789,-0.9435946345329285,1.2145411968231201,0.10060243308544159,-0.14831818640232086,True,False,False,False,269,10.760000228881836,0.2571922242641449,20.380556106567383,0.8402924537658691,114.38050842285156,10.630158424377441,0.5213680267333984,0.0
568,0,-8.58472728729248,0.4026450216770172,1.2213997840881348,-0.05951869860291481,0.057399652898311615,True,False,False,False,290,11.59999942779541,0.26068827509880066,20.64301300048828,0.8133246898651123,104.9803695678711,9.050032615661621,0.010922402143478394,0.0
569,0,-8.123740196228027,-0.8661711812019348,0.7528485059738159,-0.09360171854496002,0.1048966571688652,True,False,False,False,475,19.0,0.2894022464752197,19.871915817260742,0.8225826025009155,153.28622436523438,8.067695617675781,0.6729596853256226,0.0
570,0,-8.875436782836914,-1.1491237878799438,1.0842957496643066,-0.10076168179512024,0.03615272045135498,True,False,False,False,335,13.399999618530273,0.29950830340385437,20.6590576171875,0.8283724188804626,138.7090606689453,10.351422309875488,0.6810908317565918,0.0
571,0,-8.211421966552734,-0.36131852865219116,0.8524401187896729,-0.10527804493904114,-0.032939206808805466,True,False,False,False,427,17.079999923706055,0.2885884642601013,20.32303810119629,0.8077202439308167,174.83981323242188,10.236522674560547,0.5487538576126099,0.0
572,0,-8.727782249450684,-0.14455676078796387,0.7951600551605225,-0.11060366034507751,-0.009677237831056118,True,False,False,False,477,19.079999923706055,0.2631682753562927,20.99347686767578,0.8063642978668213,178.36875915527344,9.348467826843262,0.3313082158565521,0.0
573,0,-8.854412078857422,-0.4254204034805298,1.2543041706085205,-0.031027773395180702,-0.006254241801798344,True,False,False,False,281,11.239999771118164,0.2727719843387604,20.85545539855957,0.8179934620857239,116.39154052734375,10.355119705200195,0.29038920998573303,0.0
574,0,-8.449785232543945,-0.3852193057537079,1.2522473335266113,0.06437493860721588,0.15308234095573425,True,False,False,False,261,10.4399995803833,0.235757976770401,20.10601806640625,0.8283173441886902,91.03868103027344,8.72018051147461,0.044470638036727905,0.0
575,0,-8.014622688293457,-0.7328236103057861,0.9022445678710938,0.004319494590163231,0.005424427334219217,True,False,False,False,363,14.519999504089355,0.2701662480831146,19.7047061920166,0.8237054347991943,143.6820831298828,9.895461082458496,0.6504780054092407,0.0
